record_id,school_name,region,school_type,academic_year,grade,subject,male_count,female_count,total_enrollment,dropout_rate,avg_performance_score,pass_rate,teacher_student_ratio,budget_per_student_usd,data_quality_flag
9763,Westfield Primary,West,Public,2024,Grade 9,English,26,26.0,52.0,0.029,61.3,0.5978,0.0456,4355.01,clean
2948,Bluebell Primary,Central,Public,2019,Grade 2,English,58,58.0,116.0,0.0137,85.3,0.8456,0.0416,,missing_budget
4089,Willowbrook High,West,Public,2020,Grade 2,Social Studies,37,50.0,87.0,0.043,78.7,0.7037,0.045,7724.15,clean
10130,Willowbrook High,West,Public,2024,Grade 10,Arts,31,35.0,66.0,0.059,50.8,0.4544,0.0462,8765.15,clean
2678,Cedar Ridge Academy,Central,International,2019,Grade 8,English,21,34.0,55.0,0.0222,84.9,0.9296,0.0339,11455.86,clean
5346,Clearwater High,Central,Public,2021,Grade 2,Mathematics,46,43.0,89.0,0.075,72.3,0.7457,0.0342,11987.22,clean
9616,Northgate School,North,Public,2024,Grade 4,Mathematics,30,42.0,72.0,0.041,89.8,0.8213,0.0459,4536.02,clean
4202,Harborview Academy,North,Public,2020,Grade 1,Science,26,31.0,57.0,0.026,67.8,0.7683,0.0318,10401.51,clean
2849,Silverstone School,East,Private,2019,Grade 6,Social Studies,25,28.0,53.0,,92.2,0.9252,0.0419,9740.06,missing_dropout
4606,Sunset Academy,South,Private,2021,Grade 10,Mathematics,29,41.0,70.0,0.0687,75.3,0.6857,0.0411,7810.53,duplicate
481,Valleyview High,West,Public,2018,Grade 1,Mathematics,36,17.0,53.0,0.0576,57.2,0.5154,0.0333,8899.59,clean
3863,Clearwater High,Central,Public,2020,Grade 5,English,33,37.0,70.0,0.0195,88.8,0.9086,0.0345,10848.43,clean
3578,Crestwood Academy,Central,Charter,2020,Grade 8,English,23,30.0,53.0,0.0091,85.2,0.9124,0.0332,5419.38,clean
8674,Cedar Ridge Academy,Central,International,2023,Grade 7,Social Studies,35,11.0,46.0,0.0449,74.5,0.6493,0.0609,6679.31,clean
7969,Pinecrest Elementary,East,Public,2023,Grade 10,Social Studies,42,48.0,90.0,0.0914,,0.8269,0.0543,11833.13,missing_score
1995,Valleyview High,West,Public,2019,Grade 3,Arts,27,34.0,61.0,0.0314,83.7,0.8802,0.0442,4308.75,clean
7482,Bluebell Primary,Central,Public,2022,Grade 9,Science,43,33.0,76.0,0.0643,85.1,0.8645,0.0587,3853.8,clean
7524,Greenwood High School,North,Public,2023,Grade 5,Social Studies,36,42.0,78.0,0.0281,45.0,0.4454,0.0575,,missing_budget
7266,Meadowlands High,South,Charter,2022,Grade 2,Mathematics,34,23.0,57.0,0.0376,79.8,0.8117,0.0322,3851.79,clean
7924,Pinecrest Elementary,East,Public,2023,Grade 1,Social Studies,44,40.0,84.0,0.0368,54.8,0.5688,0.0428,11798.71,clean
5312,Southview Academy,South,Private,2021,Grade 7,Science,33,24.0,57.0,0.016,79.3,0.884,0.0537,11017.84,clean
4065,Stonegate Secondary,East,Private,2020,Grade 9,Arts,40,14.0,54.0,0.1083,68.9,0.5742,0.0327,11724.82,clean
9926,Brightstone School,North,Charter,2024,Grade 6,Mathematics,39,31.0,70.0,0.0197,67.0,0.7376,0.0469,8681.05,clean
4037,Stonegate Secondary,East,Private,2020,Grade 4,Science,43,15.0,58.0,0.0524,81.3,0.7711,0.0314,9455.93,clean
8567,Stonegate Secondary,East,Private,2023,Grade 10,Science,29,17.0,46.0,0.0588,98.4,,0.032,3832.78,clean
3156,Riverside School,East,Public,2020,Grade 8,Mathematics,36,38.0,74.0,0.104,61.9,0.6382,0.0493,3799.19,clean
